statement,img_path,type,subject,topic,subtopic,level,archive,latex,answers,options
What is 5+2,qwerty,mcq,physics,cat,cat,easy,2000,nah,{7},"{7,2,5,3}"
What is 5+3,qwerty,mcq,chemistry,cat,cat,easy,2001,nah,{8},"{7,2,8,3}"
What is 5+4,qwerty,mcq,maths,cat,cat,easy,2002,nah,{9},"{7,9,5,3}"
What is 5+5,qwerty,mcq,physics,cat,cat,easy,2003,nah,{10},"{7,2,10,3}"
What is 5+6,qwerty,mcq,chemistry,cat,cat,easy,2004,nah,{11},"{11,2,5,3}"
What is 5+7,qwerty,mcq,maths,cat,cat,easy,2005,nah,{12},"{7,2,12,3}"
What is 5+8,qwerty,mcq,physics,cat,cat,easy,2006,nah,{13},"{13,2,5,3}"
What is 5+9,qwerty,mcq,chemistry,cat,cat,easy,2007,nah,{14},"{7,14,5,3}"
What is 5+10,qwerty,mcq,maths,cat,cat,easy,2008,nah,{15},"{7,2,15,3}"
What is 5+11,qwerty,mcq,physics,cat,cat,easy,2009,nah,{16},"{7,2,16,3}"
What is 5+12,qwerty,mcq,chemistry,cat,cat,easy,2010,nah,{17},"{17,2,5,3}"
What is 5+13,qwerty,mcq,maths,cat,cat,easy,2011,nah,{18},"{7,2,5,18}"
What is 5+14,qwerty,mcq,physics,cat,cat,easy,2012,nah,{19},"{19,2,5,3}"
What is 5+15,qwerty,mcq,chemistry,cat,cat,easy,2013,nah,{20},"{7,20,5,3}"
What is 5+16,qwerty,mcq,maths,cat,cat,easy,2014,nah,{21},"{7,21,5,3}"
What is 5+17,qwerty,mcq,physics,cat,cat,easy,2015,nah,{22},"{7,2,5,22}"
What is 5+18,qwerty,mcq,chemistry,cat,cat,easy,2016,nah,{23},"{7,2,5,23}"
What is 5+19,qwerty,mcq,maths,cat,cat,easy,2017,nah,{24},"{7,2,24,3}"
What is 5+20,qwerty,mcq,physics,cat,cat,easy,2018,nah,{25},"{7,2,25,3}"
What is 5+21,qwerty,mcq,chemistry,cat,cat,easy,2019,nah,{26},"{7,26,5,3}"
What is 5+22,qwerty,mcq,maths,cat,cat,easy,2020,nah,{27},"{27,2,5,3}"
What is 5+23,qwerty,mcq,physics,cat,cat,easy,2021,nah,{28},"{7,2,5,28}"
What is 5+24,qwerty,mcq,chemistry,cat,cat,easy,2022,nah,{29},"{7,2,5,29}"
What is 5+25,qwerty,mcq,maths,cat,cat,easy,2023,nah,{30},"{7,2,5,30}"
What is 5+26,qwerty,mcq,physics,cat,cat,easy,2024,nah,{31},"{7,31,5,3}"
What is 5+27,qwerty,mcq,chemistry,cat,cat,easy,2025,nah,{32},"{7,32,5,3}"
What is 5+28,qwerty,mcq,maths,cat,cat,easy,2026,nah,{33},"{7,2,5,33}"
What is 5+29,qwerty,mcq,physics,cat,cat,easy,2027,nah,{34},"{7,34,5,3}"
What is 5+30,qwerty,mcq,chemistry,cat,cat,easy,2028,nah,{35},"{7,2,35,3}"
What is 5+31,qwerty,mcq,maths,cat,cat,easy,2029,nah,{36},"{7,2,5,36}"
What is 5+32,qwerty,mcq,physics,cat,cat,easy,2030,nah,{37},"{37,2,5,3}"
What is 5+33,qwerty,mcq,chemistry,cat,cat,easy,2031,nah,{38},"{7,2,5,38}"
What is 5+34,qwerty,mcq,maths,cat,cat,easy,2032,nah,{39},"{7,2,39,3}"
What is 5+35,qwerty,mcq,physics,cat,cat,easy,2033,nah,{40},"{40,2,5,3}"
What is 5+36,qwerty,mcq,chemistry,cat,cat,easy,2034,nah,{41},"{7,2,5,41}"
